GEOID,NAME.x,state_name,priority_score,priority_tier,cdvi_score,cdvi_tier,airband_usage,broadband_gap,tech_access_gap,svi_overall,income_median,avg_download_mbps,avg_latency_ms,rucc_2023,rural_urban_cat,Rank,airband_usage_pct,svi_percentile,income_k
06037,Los Angeles,CA,22.459243796129744,Tier 1 (Highest priority),16.581435743289003,High vulnerability (Tier 1),0.734,0.26150000000000007,343655.266,0.8584,71358,145.37782024855147,18.014513344133697,1,Metro,1,73.4,86,71.4
17031,Cook,IL,16.234253032171512,Tier 1 (Highest priority),12.360838035363042,High vulnerability (Tier 1),0.637,0.35509999999999997,241540.363,0.8004,67886,146.80355647337092,14.856897590635059,1,Metro,2,63.7,80,67.9
48201,Harris,TX,12.202227082033613,Tier 1 (Highest priority),9.482864108352054,High vulnerability (Tier 1),0.708,0.2388,179965.292,0.8953,63022,169.20255438293736,16.41546984115918,1,Metro,3,70.8,90,63
12086,Miami-Dade,FL,9.68242683537875,Tier 1 (Highest priority),7.899110463373282,High vulnerability (Tier 1),0.681,0.28389999999999993,140042.319,0.9007,53975,154.18924452560958,13.839682534319472,1,Metro,4,68.1,90,54
36047,Kings,NY,9.62206689095018,Tier 1 (Highest priority),7.397017197518947,High vulnerability (Tier 1),0.568,0.42980000000000007,142803.432,0.8845,63973,157.27311874498145,12.268478810408922,1,Metro,5,56.8,88,64
04013,Maricopa,AZ,9.139059937360987,Tier 1 (Highest priority),6.7554330747527835,High vulnerability (Tier 1),0.774,0.21929999999999994,139509.226,0.7397,67799,132.78934774921746,14.693828837693543,1,Metro,6,77.4,74,67.8
48113,Dallas,TX,8.081341169688177,Tier 1 (Highest priority),6.424286134218321,High vulnerability (Tier 1),0.733,0.26560000000000006,117147.267,0.8899,61870,174.79829128113985,13.073120865206457,1,Metro,7,73.3,89,61.9
26163,Wayne,MI,7.825426483285447,Tier 1 (Highest priority),6.778278810756902,High vulnerability (Tier 1),0.617,0.37460000000000004,108538.383,0.8714,49359,152.59593971259133,19.740507149846156,1,Metro,8,61.7,87,49.4
42101,Philadelphia,PA,6.956009178837828,Tier 1 (Highest priority),5.969326778534768,High vulnerability (Tier 1),0.591,0.4001,98481.409,0.9484,49127,164.22543434680193,13.75221140596524,1,Metro,9,59.1,95,49.1
32003,Clark,NV,6.462166899107039,Tier 1 (Highest priority),5.239338734367956,High vulnerability (Tier 1),0.781,0.2128,92444.219,0.8565,61048,131.63494722541716,14.520370155427294,1,Metro,10,78.1,86,61
36005,Bronx,NY,6.105894966138243,Tier 1 (Highest priority),5.5446645557703835,High vulnerability (Tier 1),0.486,0.49570000000000003,84774.514,0.9955,41895,177.45200289600828,12.247051780070452,1,Metro,11,48.6,100,41.9
36081,Queens,NY,6.091711212110522,Tier 1 (Highest priority),4.223005343300612,High vulnerability (Tier 1),0.689,0.3106000000000001,95668.311,0.7747,72028,177.04440737188946,11.869967873851781,1,Metro,12,68.9,77,72
39035,Cuyahoga,OH,5.695650030264862,Tier 1 (Highest priority),4.688395298798664,High vulnerability (Tier 1),0.641,0.354,84735.359,0.7333,51741,127.62345552678664,20.40922407400654,1,Metro,13,64.1,73,51.7
48029,Bexar,TX,5.605542941263575,Tier 1 (Highest priority),4.706224976802648,High vulnerability (Tier 1),0.719,0.28070000000000006,78491.281,0.92490000000000006,58288,181.4625016933553,19.796070614274857,1,Metro,14,71.9,92,58.3
36061,New York,NY,4.795294892407906,Tier 1 (Highest priority),2.723758468362271,High vulnerability (Tier 1),0.55,0.44999999999999996,77027.45,0.6668,89812,174.55428637056903,12.541378194758977,1,Metro,15,55,67,89.8
12011,Broward,FL,4.481673909738804,Tier 1 (Highest priority),3.45017892043471,High vulnerability (Tier 1),0.802,0.1795,68462.198,0.7826,60922,154.86507920390304,14.63208203355535,1,Metro,16,80.2,78,60.9
47157,Shelby,TN,4.371481154672076,Tier 1 (Highest priority),3.7399283593157437,High vulnerability (Tier 1),0.43,0.5581,63051.57,0.8803,52092,125.95856070728354,22.442905380872848,1,Metro,17,43,88,52.1
06065,Riverside,CA,4.2671501323073056,Tier 1 (Highest priority),3.204353491985136,High vulnerability (Tier 1),0.793,0.18209999999999993,61872.207,0.8297,70732,147.66474331606582,19.920435506287046,1,Metro,18,79.3,83,70.7
06071,San Bernardino,CA,4.1663551124044345,Tier 1 (Highest priority),3.4693621966834303,High vulnerability (Tier 1),0.771,0.19779999999999998,56066.229,0.9058,65761,149.68035968974175,19.03120751946381,1,Metro,19,77.1,91,65.8
55079,Milwaukee,WI,4.120243195079902,Tier 1 (Highest priority),3.4966981650067246,High vulnerability (Tier 1),0.645,0.355,60689.355,0.8396,52260,138.37167327785087,17.218689221583972,1,Metro,20,64.5,84,52.3
