FIPS,GEO_ID,NAME,internet_total_hh,internet_broadband,internet_no_access,computer_no_device,income_median,edu_total_25plus,edu_hs,edu_bach,edu_mast,edu_doc
01001,0500000US01001,"Autauga County, Alabama",21559,17850,402,3307,57982,37860,9663,6320,3399,498
01003,0500000US01003,"Baldwin County, Alabama",84047,71880,2149,10018,61756,155563,34521,31444,13331,2016
01005,0500000US01005,"Barbour County, Alabama",9322,6059,563,2700,34990,17797,5171,1296,540,113
01007,0500000US01007,"Bibb County, Alabama",7259,5529,210,1520,51721,15987,5879,1183,481,41
01009,0500000US01009,"Blount County, Alabama",21205,16971,314,3920,48922,39814,10582,3540,1382,132
01011,0500000US01011,"Bullock County, Alabama",3429,2153,236,1040,33866,6784,2498,413,152,28
01013,0500000US01013,"Butler County, Alabama",6649,4941,150,1558,44850,13820,5583,1396,651,19
01015,0500000US01015,"Calhoun County, Alabama",44572,35642,931,7999,50128,78967,21801,8296,4618,883
01017,0500000US01017,"Chambers County, Alabama",13582,10165,284,3133,43875,23771,7150,2491,740,29
01019,0500000US01019,"Cherokee County, Alabama",10836,8178,250,2408,42509,19143,6036,1202,743,132
01021,0500000US01021,"Chilton County, Alabama",17140,12841,260,4039,52141,30153,10885,2471,1349,106
01023,0500000US01023,"Choctaw County, Alabama",5330,3384,236,1710,36634,9263,2831,761,374,73
01025,0500000US01025,"Clarke County, Alabama",9323,5910,521,2892,37345,16703,6132,1401,752,71
01027,0500000US01027,"Clay County, Alabama",5153,3717,146,1290,42678,9371,3212,709,300,0
01029,0500000US01029,"Cleburne County, Alabama",5835,4141,62,1632,46320,10538,3358,1121,425,53
01031,0500000US01031,"Coffee County, Alabama",19951,16595,388,2968,56799,35936,8149,4993,2235,253
01033,0500000US01033,"Colbert County, Alabama",21797,15920,754,5123,47962,39077,12062,4263,1882,222
01035,0500000US01035,"Conecuh County, Alabama",4585,2846,104,1635,35444,8826,3791,727,320,143
01037,0500000US01037,"Coosa County, Alabama",4016,3049,114,853,43571,8281,2930,659,234,16
01039,0500000US01039,"Covington County, Alabama",14995,11386,194,3415,42566,26366,8335,2455,1258,149
01041,0500000US01041,"Crenshaw County, Alabama",5011,3367,247,1397,42611,9684,3151,1271,439,27
01043,0500000US01043,"Cullman County, Alabama",31733,25092,850,5791,48388,58084,15053,5889,2423,202
01045,0500000US01045,"Dale County, Alabama",19405,15800,579,3026,45644,33522,8075,4208,1500,137
01047,0500000US01047,"Dallas County, Alabama",15409,11179,261,3969,33317,25611,8232,2634,1311,141
01049,0500000US01049,"DeKalb County, Alabama",26365,20751,507,5107,42267,48306,12620,4166,2098,127
01051,0500000US01051,"Elmore County, Alabama",29794,24973,559,4262,62324,56633,14577,9546,3762,687
01053,0500000US01053,"Escambia County, Alabama",12931,8525,146,4260,35558,25703,9215,2252,836,47
01055,0500000US01055,"Etowah County, Alabama",38765,31153,1145,6467,44934,72188,18494,7764,3463,485
01057,0500000US01057,"Fayette County, Alabama",6805,4804,187,1814,41469,11572,3676,1055,306,29
01059,0500000US01059,"Franklin County, Alabama",11017,6973,367,3677,41174,21071,7339,2164,727,114
01061,0500000US01061,"Geneva County, Alabama",10572,7559,349,2664,41569,18688,5400,1451,909,4
01063,0500000US01063,"Greene County, Alabama",3178,1768,152,1258,26688,5768,2131,332,190,46
01065,0500000US01065,"Hale County, Alabama",5490,3448,236,1806,30793,10023,3177,1063,380,71
01067,0500000US01067,"Henry County, Alabama",6556,5141,115,1300,51715,12214,3282,1507,712,20
01069,0500000US01069,"Houston County, Alabama",39784,31191,760,7833,49069,72863,18803,10109,4333,426
01071,0500000US01071,"Jackson County, Alabama",20367,15408,647,4312,42578,37102,11473,3942,1603,222
01073,0500000US01073,"Jefferson County, Alabama",263801,219465,7365,36971,55088,450079,102356,94241,36816,7786
01075,0500000US01075,"Lamar County, Alabama",5631,3702,206,1723,42688,9810,3228,691,321,29
01077,0500000US01077,"Lauderdale County, Alabama",38513,29880,1421,7212,48428,64089,19032,10244,4317,781
01079,0500000US01079,"Lawrence County, Alabama",12551,8481,488,3582,47125,23401,7905,2385,1210,67
01081,0500000US01081,"Lee County, Alabama",60731,51506,2339,6886,52930,99315,17187,19926,11392,2887
01083,0500000US01083,"Limestone County, Alabama",32725,27251,1553,3921,64270,67974,16334,11872,4137,350
01085,0500000US01085,"Lowndes County, Alabama",4213,2231,400,1582,33634,6892,2665,557,393,19
01087,0500000US01087,"Macon County, Alabama",7592,5123,502,1967,35450,11932,3026,1312,762,130
01089,0500000US01089,"Madison County, Alabama",151628,134179,4025,13424,66887,252546,38864,67834,33424,5452
01091,0500000US01091,"Marengo County, Alabama",7499,4948,339,2212,33029,13025,4310,1298,761,69
01093,0500000US01093,"Marion County, Alabama",11780,8289,459,3032,40978,21297,5970,1702,942,97
01095,0500000US01095,"Marshall County, Alabama",35115,29378,462,5275,50216,64322,15364,9037,3210,398
01097,0500000US01097,"Mobile County, Alabama",157557,125725,3647,28185,49625,279795,79556,45286,16888,2007
01099,0500000US01099,"Monroe County, Alabama",8050,4023,558,3469,31969,14691,6070,1256,600,15
01101,0500000US01101,"Montgomery County, Alabama",89511,74303,2368,12840,51963,150749,29781,29560,15905,1971
01103,0500000US01103,"Morgan County, Alabama",46388,36015,2074,8299,52923,82684,21199,11982,4162,520
01105,0500000US01105,"Perry County, Alabama",3140,1738,53,1349,23875,5723,1882,661,272,71
01107,0500000US01107,"Pickens County, Alabama",7731,5525,100,2106,40362,14386,4670,1385,524,31
01109,0500000US01109,"Pike County, Alabama",11700,8247,478,2975,39218,19310,5388,3095,1763,462
01111,0500000US01111,"Randolph County, Alabama",8655,6660,128,1867,45141,15993,4519,1551,932,88
01113,0500000US01113,"Russell County, Alabama",23694,17485,1375,4834,42208,39280,9496,4416,2024,192
01115,0500000US01115,"St. Clair County, Alabama",32765,27192,1253,4320,62531,62328,17721,7745,2834,326
01117,0500000US01117,"Shelby County, Alabama",80756,73455,1398,5903,78889,147791,24726,42683,16479,2646
01119,0500000US01119,"Sumter County, Alabama",5355,3509,127,1719,26150,7657,2491,761,533,61
01121,0500000US01121,"Talladega County, Alabama",31741,25035,672,6034,43969,56121,15184,4948,2923,258
01123,0500000US01123,"Tallapoosa County, Alabama",16359,12618,537,3204,48160,28797,7489,3417,1416,158
01125,0500000US01125,"Tuscaloosa County, Alabama",74713,61547,2372,10794,54283,130940,32566,23944,11450,3495
01127,0500000US01127,"Walker County, Alabama",25440,19490,524,5426,45833,44630,12509,3768,1567,148
01129,0500000US01129,"Washington County, Alabama",5830,4071,309,1450,42331,11148,4264,700,682,106
01131,0500000US01131,"Wilcox County, Alabama",3961,2554,186,1221,35063,7060,2639,557,240,2
01133,0500000US01133,"Winston County, Alabama",9612,6902,264,2446,40991,17189,5594,1366,709,71
02013,0500000US02013,"Aleutians East Borough, Alaska",988,572,40,376,75833,2646,995,277,147,13
02016,0500000US02016,"Aleutians West Census Area, Alaska",1306,1034,95,177,87443,4208,1560,605,88,4
02020,0500000US02020,"Anchorage Municipality, Alaska",106970,98569,1907,6494,84813,192345,36951,43695,18634,2722
02050,0500000US02050,"Bethel Census Area, Alaska",4499,3306,146,1047,54400,9841,3813,559,461,27
02060,0500000US02060,"Bristol Bay Borough, Alaska",284,230,17,37,79808,561,140,114,30,0
02063,0500000US02063,"Chugach Census Area, Alaska",2310,2005,54,251,90776,4686,1084,764,566,24
02066,0500000US02066,"Copper River Census Area, Alaska",1063,809,32,222,64745,1880,571,327,185,1
02068,0500000US02068,"Denali Borough, Alaska",726,618,44,64,76364,1866,473,478,246,0
02070,0500000US02070,"Dillingham Census Area, Alaska",1430,1043,68,319,57436,2902,1014,247,154,70
02090,0500000US02090,"Fairbanks North Star Borough, Alaska",36199,31820,938,3441,76464,61724,11483,11625,5459,1623
