FIPS,GEO_ID,NAME,B15003_001E,B15003_017E,B15003_022E,B15003_023E,B15003_025E
01001,0500000US01001,"Autauga County, Alabama",37860,9663,6320,3399,498
01003,0500000US01003,"Baldwin County, Alabama",155563,34521,31444,13331,2016
01005,0500000US01005,"Barbour County, Alabama",17797,5171,1296,540,113
01007,0500000US01007,"Bibb County, Alabama",15987,5879,1183,481,41
01009,0500000US01009,"Blount County, Alabama",39814,10582,3540,1382,132
01011,0500000US01011,"Bullock County, Alabama",6784,2498,413,152,28
01013,0500000US01013,"Butler County, Alabama",13820,5583,1396,651,19
01015,0500000US01015,"Calhoun County, Alabama",78967,21801,8296,4618,883
01017,0500000US01017,"Chambers County, Alabama",23771,7150,2491,740,29
01019,0500000US01019,"Cherokee County, Alabama",19143,6036,1202,743,132
01021,0500000US01021,"Chilton County, Alabama",30153,10885,2471,1349,106
01023,0500000US01023,"Choctaw County, Alabama",9263,2831,761,374,73
01025,0500000US01025,"Clarke County, Alabama",16703,6132,1401,752,71
01027,0500000US01027,"Clay County, Alabama",9371,3212,709,300,0
01029,0500000US01029,"Cleburne County, Alabama",10538,3358,1121,425,53
01031,0500000US01031,"Coffee County, Alabama",35936,8149,4993,2235,253
01033,0500000US01033,"Colbert County, Alabama",39077,12062,4263,1882,222
01035,0500000US01035,"Conecuh County, Alabama",8826,3791,727,320,143
01037,0500000US01037,"Coosa County, Alabama",8281,2930,659,234,16
01039,0500000US01039,"Covington County, Alabama",26366,8335,2455,1258,149
01041,0500000US01041,"Crenshaw County, Alabama",9684,3151,1271,439,27
01043,0500000US01043,"Cullman County, Alabama",58084,15053,5889,2423,202
01045,0500000US01045,"Dale County, Alabama",33522,8075,4208,1500,137
01047,0500000US01047,"Dallas County, Alabama",25611,8232,2634,1311,141
01049,0500000US01049,"DeKalb County, Alabama",48306,12620,4166,2098,127
01051,0500000US01051,"Elmore County, Alabama",56633,14577,9546,3762,687
01053,0500000US01053,"Escambia County, Alabama",25703,9215,2252,836,47
01055,0500000US01055,"Etowah County, Alabama",72188,18494,7764,3463,485
01057,0500000US01057,"Fayette County, Alabama",11572,3676,1055,306,29
01059,0500000US01059,"Franklin County, Alabama",21071,7339,2164,727,114
01061,0500000US01061,"Geneva County, Alabama",18688,5400,1451,909,4
01063,0500000US01063,"Greene County, Alabama",5768,2131,332,190,46
01065,0500000US01065,"Hale County, Alabama",10023,3177,1063,380,71
01067,0500000US01067,"Henry County, Alabama",12214,3282,1507,712,20
01069,0500000US01069,"Houston County, Alabama",72863,18803,10109,4333,426
01071,0500000US01071,"Jackson County, Alabama",37102,11473,3942,1603,222
01073,0500000US01073,"Jefferson County, Alabama",450079,102356,94241,36816,7786
01075,0500000US01075,"Lamar County, Alabama",9810,3228,691,321,29
01077,0500000US01077,"Lauderdale County, Alabama",64089,19032,10244,4317,781
01079,0500000US01079,"Lawrence County, Alabama",23401,7905,2385,1210,67
01081,0500000US01081,"Lee County, Alabama",99315,17187,19926,11392,2887
01083,0500000US01083,"Limestone County, Alabama",67974,16334,11872,4137,350
01085,0500000US01085,"Lowndes County, Alabama",6892,2665,557,393,19
01087,0500000US01087,"Macon County, Alabama",11932,3026,1312,762,130
01089,0500000US01089,"Madison County, Alabama",252546,38864,67834,33424,5452
