FIPS,GEO_ID,NAME,B19013_001E
01001,0500000US01001,"Autauga County, Alabama",57982
01003,0500000US01003,"Baldwin County, Alabama",61756
01005,0500000US01005,"Barbour County, Alabama",34990
01007,0500000US01007,"Bibb County, Alabama",51721
01009,0500000US01009,"Blount County, Alabama",48922
01011,0500000US01011,"Bullock County, Alabama",33866
01013,0500000US01013,"Butler County, Alabama",44850
01015,0500000US01015,"Calhoun County, Alabama",50128
01017,0500000US01017,"Chambers County, Alabama",43875
01019,0500000US01019,"Cherokee County, Alabama",42509
01021,0500000US01021,"Chilton County, Alabama",52141
01023,0500000US01023,"Choctaw County, Alabama",36634
01025,0500000US01025,"Clarke County, Alabama",37345
01027,0500000US01027,"Clay County, Alabama",42678
01029,0500000US01029,"Cleburne County, Alabama",46320
01031,0500000US01031,"Coffee County, Alabama",56799
01033,0500000US01033,"Colbert County, Alabama",47962
01035,0500000US01035,"Conecuh County, Alabama",35444
01037,0500000US01037,"Coosa County, Alabama",43571
01039,0500000US01039,"Covington County, Alabama",42566
01041,0500000US01041,"Crenshaw County, Alabama",42611
01043,0500000US01043,"Cullman County, Alabama",48388
01045,0500000US01045,"Dale County, Alabama",45644
01047,0500000US01047,"Dallas County, Alabama",33317
01049,0500000US01049,"DeKalb County, Alabama",42267
01051,0500000US01051,"Elmore County, Alabama",62324
01053,0500000US01053,"Escambia County, Alabama",35558
01055,0500000US01055,"Etowah County, Alabama",44934
01057,0500000US01057,"Fayette County, Alabama",41469
01059,0500000US01059,"Franklin County, Alabama",41174
01061,0500000US01061,"Geneva County, Alabama",41569
01063,0500000US01063,"Greene County, Alabama",26688
01065,0500000US01065,"Hale County, Alabama",30793
01067,0500000US01067,"Henry County, Alabama",51715
01069,0500000US01069,"Houston County, Alabama",49069
01071,0500000US01071,"Jackson County, Alabama",42578
01073,0500000US01073,"Jefferson County, Alabama",55088
01075,0500000US01075,"Lamar County, Alabama",42688
01077,0500000US01077,"Lauderdale County, Alabama",48428
01079,0500000US01079,"Lawrence County, Alabama",47125
01081,0500000US01081,"Lee County, Alabama",52930
01083,0500000US01083,"Limestone County, Alabama",64270
01085,0500000US01085,"Lowndes County, Alabama",33634
01087,0500000US01087,"Macon County, Alabama",35450
01089,0500000US01089,"Madison County, Alabama",66887
01091,0500000US01091,"Marengo County, Alabama",33029
01093,0500000US01093,"Marion County, Alabama",40978
01095,0500000US01095,"Marshall County, Alabama",50216
