FIPS,GEO_ID,NAME,B28002_001E,B28002_002E,B28002_012E,B28002_013E
01001,0500000US01001,"Autauga County, Alabama",21559,17850,402,3307
01003,0500000US01003,"Baldwin County, Alabama",84047,71880,2149,10018
01005,0500000US01005,"Barbour County, Alabama",9322,6059,563,2700
01007,0500000US01007,"Bibb County, Alabama",7259,5529,210,1520
01009,0500000US01009,"Blount County, Alabama",21205,16971,314,3920
01011,0500000US01011,"Bullock County, Alabama",3429,2153,236,1040
01013,0500000US01013,"Butler County, Alabama",6649,4941,150,1558
01015,0500000US01015,"Calhoun County, Alabama",44572,35642,931,7999
01017,0500000US01017,"Chambers County, Alabama",13582,10165,284,3133
01019,0500000US01019,"Cherokee County, Alabama",10836,8178,250,2408
01021,0500000US01021,"Chilton County, Alabama",17140,12841,260,4039
01023,0500000US01023,"Choctaw County, Alabama",5330,3384,236,1710
01025,0500000US01025,"Clarke County, Alabama",9323,5910,521,2892
01027,0500000US01027,"Clay County, Alabama",5153,3717,146,1290
01029,0500000US01029,"Cleburne County, Alabama",5835,4141,62,1632
01031,0500000US01031,"Coffee County, Alabama",19951,16595,388,2968
01033,0500000US01033,"Colbert County, Alabama",21797,15920,754,5123
01035,0500000US01035,"Conecuh County, Alabama",4585,2846,104,1635
01037,0500000US01037,"Coosa County, Alabama",4016,3049,114,853
01039,0500000US01039,"Covington County, Alabama",14995,11386,194,3415
01041,0500000US01041,"Crenshaw County, Alabama",5011,3367,247,1397
01043,0500000US01043,"Cullman County, Alabama",31733,25092,850,5791
01045,0500000US01045,"Dale County, Alabama",19405,15800,579,3026
01047,0500000US01047,"Dallas County, Alabama",15409,11179,261,3969
01049,0500000US01049,"DeKalb County, Alabama",26365,20751,507,5107
01051,0500000US01051,"Elmore County, Alabama",29794,24973,559,4262
01053,0500000US01053,"Escambia County, Alabama",12931,8525,146,4260
01055,0500000US01055,"Etowah County, Alabama",38765,31153,1145,6467
01057,0500000US01057,"Fayette County, Alabama",6805,4804,187,1814
01059,0500000US01059,"Franklin County, Alabama",11017,6973,367,3677
01061,0500000US01061,"Geneva County, Alabama",10572,7559,349,2664
01063,0500000US01063,"Greene County, Alabama",3178,1768,152,1258
01065,0500000US01065,"Hale County, Alabama",5490,3448,236,1806
01067,0500000US01067,"Henry County, Alabama",6556,5141,115,1300
01069,0500000US01069,"Houston County, Alabama",39784,31191,760,7833
01071,0500000US01071,"Jackson County, Alabama",20367,15408,647,4312
01073,0500000US01073,"Jefferson County, Alabama",263801,219465,7365,36971
01075,0500000US01075,"Lamar County, Alabama",5631,3702,206,1723
01077,0500000US01077,"Lauderdale County, Alabama",38513,29880,1421,7212
01079,0500000US01079,"Lawrence County, Alabama",12551,8481,488,3582
01081,0500000US01081,"Lee County, Alabama",60731,51506,2339,6886
01083,0500000US01083,"Limestone County, Alabama",32725,27251,1553,3921
01085,0500000US01085,"Lowndes County, Alabama",4213,2231,400,1582
01087,0500000US01087,"Macon County, Alabama",7592,5123,502,1967
01089,0500000US01089,"Madison County, Alabama",151628,134179,4025,13424
01091,0500000US01091,"Marengo County, Alabama",7499,4948,339,2212
01093,0500000US01093,"Marion County, Alabama",11780,8289,459,3032
01095,0500000US01095,"Marshall County, Alabama",35115,29378,462,5275
01097,0500000US01097,"Mobile County, Alabama",157557,125725,3647,28185
01099,0500000US01099,"Monroe County, Alabama",8050,4023,558,3469
01101,0500000US01101,"Montgomery County, Alabama",89511,74303,2368,12840
01103,0500000US01103,"Morgan County, Alabama",46388,36015,2074,8299
01105,0500000US01105,"Perry County, Alabama",3140,1738,53,1349
01107,0500000US01107,"Pickens County, Alabama",7731,5525,100,2106
01109,0500000US01109,"Pike County, Alabama",11700,8247,478,2975
01111,0500000US01111,"Randolph County, Alabama",8655,6660,128,1867
01113,0500000US01113,"Russell County, Alabama",23694,17485,1375,4834
01115,0500000US01115,"St. Clair County, Alabama",32765,27192,1253,4320
01117,0500000US01117,"Shelby County, Alabama",80756,73455,1398,5903
01119,0500000US01119,"Sumter County, Alabama",5355,3509,127,1719
01121,0500000US01121,"Talladega County, Alabama",31741,25035,672,6034
01123,0500000US01123,"Tallapoosa County, Alabama",16359,12618,537,3204
01125,0500000US01125,"Tuscaloosa County, Alabama",74713,61547,2372,10794
01127,0500000US01127,"Walker County, Alabama",25440,19490,524,5426
01129,0500000US01129,"Washington County, Alabama",5830,4071,309,1450
01131,0500000US01131,"Wilcox County, Alabama",3961,2554,186,1221
01133,0500000US01133,"Winston County, Alabama",9612,6902,264,2446
02013,0500000US02013,"Aleutians East Borough, Alaska",988,572,40,376
02016,0500000US02016,"Aleutians West Census Area, Alaska",1306,1034,95,177
02020,0500000US02020,"Anchorage Municipality, Alaska",106970,98569,1907,6494
02050,0500000US02050,"Bethel Census Area, Alaska",4499,3306,146,1047
02060,0500000US02060,"Bristol Bay Borough, Alaska",284,230,17,37
02063,0500000US02063,"Chugach Census Area, Alaska",2310,2005,54,251
02066,0500000US02066,"Copper River Census Area, Alaska",1063,809,32,222
02068,0500000US02068,"Denali Borough, Alaska",726,618,44,64
02070,0500000US02070,"Dillingham Census Area, Alaska",1430,1043,68,319
02090,0500000US02090,"Fairbanks North Star Borough, Alaska",36199,31820,938,3441
02100,0500000US02100,"Haines Borough, Alaska",917,794,11,112
02105,0500000US02105,"Hoonah-Angoon Census Area, Alaska",755,460,7,288
02110,0500000US02110,"Juneau City and Borough, Alaska",12878,11764,150,964
