county_fips,state,county_name,airband_fcc_availability,airband_usage
01001,AL,Autauga County,0.8057,0.391
01003,AL,Baldwin County,0.8362,0.452
01005,AL,Barbour County,0.6891,0.324
01007,AL,Bibb County,0.3368,0.136
01009,AL,Blount County,0.758,0.199
01011,AL,Bullock County,0.9363,0.157
01013,AL,Butler County,0.6814,0.183
01015,AL,Calhoun County,0.9298,0.419
01017,AL,Chambers County,0.8453,0.501
01019,AL,Cherokee County,0.9892,0.125
01021,AL,Chilton County,0.6345,0.104
01023,AL,Choctaw County,0.2147,0.035
01025,AL,Clarke County,0.5585,0.092
01027,AL,Clay County,0.4291,0.081
01029,AL,Cleburne County,0.1731,0.1
01031,AL,Coffee County,0.913,0.531
01033,AL,Colbert County,0.8405,0.39
01035,AL,Conecuh County,0.4422,0.067
01037,AL,Coosa County,0.7828,0.095
01039,AL,Covington County,0.8336,0.366
01041,AL,Crenshaw County,0.729,0.196
01043,AL,Cullman County,0.7835,0.364
01045,AL,Dale County,0.9479,0.351
01047,AL,Dallas County,0.7637,0.249
01049,AL,DeKalb County,0.9883,0.402
01051,AL,Elmore County,0.9268,0.509
01053,AL,Escambia County,0.7474,0.243
01055,AL,Etowah County,0.9514,0.404
01057,AL,Fayette County,0.1989,0.077
01059,AL,Franklin County,0.6604,0.111
01061,AL,Geneva County,0.5956,0.176
01063,AL,Greene County,0.0085,0.013
01065,AL,Hale County,0.5144,0.095
01067,AL,Henry County,0.6405,0.107
01069,AL,Houston County,0.8734,0.54
01071,AL,Jackson County,0.9643,0.419
01073,AL,Jefferson County,0.9906,0.532
01075,AL,Lamar County,0.4309,0.095
01077,AL,Lauderdale County,0.8173,0.36
01079,AL,Lawrence County,0.5525,0.09
01081,AL,Lee County,0.9631,0.59
01083,AL,Limestone County,0.9079,0.555
01085,AL,Lowndes County,0.1441,0.063
01087,AL,Macon County,0.6502,0.114
01089,AL,Madison County,0.9644,0.747
01091,AL,Marengo County,0.1696,0.08
01093,AL,Marion County,0.8241,0.315
01095,AL,Marshall County,0.9598,0.561
01097,AL,Mobile County,0.935,0.506
01099,AL,Monroe County,0.8964,0.243
01101,AL,Montgomery County,0.9749,0.637
01103,AL,Morgan County,0.9167,0.589
01105,AL,Perry County,0.0012,0.032
01107,AL,Pickens County,0.5724,0.11
01109,AL,Pike County,0.9254,0.354
01111,AL,Randolph County,0.6422,0.161
01113,AL,Russell County,0.8929,0.402
01115,AL,St. Clair County,0.8901,0.361
01117,AL,Shelby County,0.9546,0.589
01119,AL,Sumter County,0.4666,0.13
01121,AL,Talladega County,0.8121,0.361
01123,AL,Tallapoosa County,0.9169,0.736
01125,AL,Tuscaloosa County,0.9228,0.487
01127,AL,Walker County,0.7725,0.306
01129,AL,Washington County,0.3114,0.045
01131,AL,Wilcox County,0.4144,0.098
01133,AL,Winston County,0.6272,0.15
02013,AK,Aleutians East Borough,-,0.066
02016,AK,Aleutians West Census Area,-,0.023
02020,AK,Anchorage Municipality,0.9969,0.753
02050,AK,Bethel Census Area,-,0.05
02060,AK,Bristol Bay Borough,-,0.054
02068,AK,Denali Borough,0.5536,0.133
02070,AK,Dillingham Census Area,-,0.052
02090,AK,Fairbanks North Star Borough,0.896,0.507
02100,AK,Haines Borough,0.9186,0.089
02105,AK,Hoonah-Angoon Census Area,0.25,0.203
02110,AK,Juneau City and Borough,0.9927,0.571
02122,AK,Kenai Peninsula Borough,0.975,0.365
02130,AK,Ketchikan Gateway Borough,0.9894,0.867
02150,AK,Kodiak Island Borough,0.8591,0.389
02164,AK,Lake and Peninsula Borough,-,0.161
02170,AK,Matanuska-Susitna Borough,0.9389,0.481
02180,AK,Nome Census Area,0.3515,0.038
02185,AK,North Slope Borough,0.0061,0.051
02188,AK,Northwest Arctic Borough,0.0081,0.039
02195,AK,Petersburg Census Area,0.7971,0.716
02198,AK,Prince of Wales-Hyder Census Area,0.0282,0.04
02220,AK,Sitka City and Borough,0.9772,0.681
02230,AK,Skagway Municipality,0.967,0.22
02240,AK,Southeast Fairbanks Census Area,0.5191,0.213
02261,AK,Valdez-Cordova Census Area,0.8438,0.432
