GEOID,NAME.x,STATEFP,COUNTYFP,state_name,county_name,housing_units,tier1,tier2,tier3,svi_overall,svi_soc,svi_hh,svi_min,svi_hous,airband_fcc_availability,airband_usage,GEO_ID,NAME.y,internet_total_hh,internet_broadband,internet_no_access,computer_no_device,income_median,edu_total_25plus,edu_hs,edu_bach,edu_mast,edu_doc
31039,Cuming,31,039,NE,Cuming County,5494,4,4,3,0.161,0.1101,0.5738,0.3762,0.1439,0.89,0.284,0500000US31039,"Cuming County, Nebraska",3854,2817,208,829,59202,6071,2103,1026,259,15
53069,Wahkiakum,53,069,WA,Wahkiakum County,2790,4,2,2,0.1706,0.2314,0.2167,0.4411,0.1467,0.6246,0.273,0500000US53069,"Wahkiakum County, Washington",1900,1551,83,266,54524,3356,719,389,253,20
35011,De Baca,35,011,NM,De Baca County,1531,4,4,3,0.5891,0.7782,0.2447,0.9621,0.2775,0.8124,0.455,0500000US35011,"De Baca County, New Mexico",554,381,12,161,31532,941,248,63,62,0
31109,Lancaster,31,109,NE,Lancaster County,148105,4,4,4,0.3781,0.2629,0.2412,0.5407,0.6785,1,0.677,0500000US31109,"Lancaster County, Nebraska",126666,113669,3450,9547,62464,196706,34338,48821,19426,5242
31129,Nuckolls,31,129,NE,Nuckolls County,3396,4,4,2,0.0707,0.0904,0.2371,0.1359,0.1248,0.7406,0.429,0500000US31129,"Nuckolls County, Nebraska",1852,1415,37,400,52975,3060,857,499,153,48
46099,Minnehaha,46,099,SD,Minnehaha County,96413,4,4,4,0.4013,0.1677,0.5484,0.5242,0.7072,0.9855,0.692,0500000US46099,"Minnehaha County, South Dakota",78453,69385,2515,6553,63699,126191,28726,29293,9810,1293
48327,Menard,48,327,TX,Menard County,2689,4,3,1,0.7702,0.668,0.8211,0.7855,0.6292,0.9097,0.05,0500000US48327,"Menard County, Texas",1035,662,95,278,43826,1670,335,253,114,33
06091,Sierra,06,091,CA,Sierra County,2581,4,1,1,0.281,0.5325,0.3501,0.3682,0.0792,0.6599,0.077,0500000US06091,"Sierra County, California",1250,946,74,230,52103,2302,559,202,164,9
21053,Clinton,21,053,KY,Clinton County,6151,4,2,2,0.76,0.8291,0.7358,0.0907,0.7728,0.9208,0.129,0500000US21053,"Clinton County, Kentucky",4023,2472,61,1490,33092,7209,2450,494,255,80
39063,Hancock,39,063,OH,Hancock County,37586,4,4,4,0.1712,0.0955,0.1948,0.3616,0.4519,0.9799,0.538,0500000US39063,"Hancock County, Ohio",32022,27894,728,3400,57384,52131,16936,8962,4362,473
