county_fips,state_name,county_name,housing_units,tier1,tier2,tier3
01001,Alabama,Autauga County,24165,4,4,4
01003,Alabama,Baldwin County,122518,4,3,3
01005,Alabama,Barbour County,12120,3,3,2
01007,Alabama,Bibb County,9340,3,2,1
01009,Alabama,Blount County,24625,3,3,2
01011,Alabama,Bullock County,4625,3,3,1
01013,Alabama,Butler County,10177,3,3,2
01015,Alabama,Calhoun County,53933,4,3,3
01017,Alabama,Chambers County,17055,4,3,3
01019,Alabama,Cherokee County,16761,3,2,2
01021,Alabama,Chilton County,20157,3,3,2
01023,Alabama,Choctaw County,7459,3,2,1
01025,Alabama,Clarke County,12881,3,2,2
01027,Alabama,Clay County,6858,3,2,2
01029,Alabama,Cleburne County,6903,2,2,1
01031,Alabama,Coffee County,23719,4,4,3
01033,Alabama,Colbert County,27007,4,3,3
01035,Alabama,Conecuh County,7247,2,2,1
01037,Alabama,Coosa County,6661,3,3,2
01039,Alabama,Covington County,19174,3,3,2
01041,Alabama,Crenshaw County,6887,3,2,2
01043,Alabama,Cullman County,38565,3,3,3
01045,Alabama,Dale County,23276,4,3,3
01047,Alabama,Dallas County,20459,3,3,2
01049,Alabama,DeKalb County,31694,3,3,3
01051,Alabama,Elmore County,34618,5,4,4
01053,Alabama,Escambia County,16683,3,2,2
01055,Alabama,Etowah County,47921,4,4,3
01057,Alabama,Fayette County,8542,2,2,1
01059,Alabama,Franklin County,14135,3,2,2
01061,Alabama,Geneva County,12994,3,2,2
01063,Alabama,Greene County,5191,2,1,1
01065,Alabama,Hale County,7943,3,2,2
01067,Alabama,Henry County,9298,3,3,2
01069,Alabama,Houston County,48463,4,3,3
01071,Alabama,Jackson County,25293,4,4,3
01073,Alabama,Jefferson County,310489,4,4,4
01075,Alabama,Lamar County,7437,3,2,2
01077,Alabama,Lauderdale County,45722,4,3,3
01079,Alabama,Lawrence County,15414,3,2,2
01081,Alabama,Lee County,73371,4,4,4
01083,Alabama,Limestone County,36869,5,4,4
01085,Alabama,Lowndes County,5305,3,2,2
01087,Alabama,Macon County,10356,3,3,2
01089,Alabama,Madison County,169528,5,4,4
01091,Alabama,Marengo County,10441,3,2,1
01093,Alabama,Marion County,14855,3,3,3
01095,Alabama,Marshall County,40887,4,4,4
01097,Alabama,Mobile County,185524,4,4,3
01099,Alabama,Monroe County,11494,3,2,2
01101,Alabama,Montgomery County,105575,4,4,4
01103,Alabama,Morgan County,52572,4,4,4
01105,Alabama,Perry County,4776,2,2,1
01107,Alabama,Pickens County,9693,3,2,2
01109,Alabama,Pike County,16422,3,3,2
01111,Alabama,Randolph County,12215,3,3,2
01113,Alabama,Russell County,28264,3,3,3
01115,Alabama,St. Clair County,37639,4,4,3
01117,Alabama,Shelby County,90258,5,5,4
01119,Alabama,Sumter County,6973,2,2,2
01121,Alabama,Talladega County,38360,3,3,3
01123,Alabama,Tallapoosa County,22823,4,4,4
01125,Alabama,Tuscaloosa County,94220,4,4,3
01127,Alabama,Walker County,31482,3,3,2
01129,Alabama,Washington County,8664,3,2,1
01131,Alabama,Wilcox County,5873,2,2,1
01133,Alabama,Winston County,13795,3,2,1
02013,Alaska,Aleutians East Borough,755,4,3,0
02016,Alaska,Aleutians West Census Area,1970,5,4,0
02020,Alaska,Anchorage Municipality,120299,5,4,4
02050,Alaska,Bethel Census Area,6048,2,1,1
02060,Alaska,Bristol Bay Borough,985,2,1,0
02063,Alaska,Chugach Census Area,3588,0,0,0
02066,Alaska,Copper River Census Area,2632,0,0,0
02068,Alaska,Denali Borough,1768,2,2,1
02070,Alaska,Dillingham Census Area,2457,2,1,0
02090,Alaska,Fairbanks North Star Borough,44311,4,3,3
02100,Alaska,Haines Borough,1695,3,2,1
02105,Alaska,Hoonah-Angoon Census Area,1767,3,2,2
02110,Alaska,Juneau City and Borough,14027,5,4,4
02122,Alaska,Kenai Peninsula Borough,31542,3,3,2
02130,Alaska,Ketchikan Gateway Borough,6508,4,4,3
02150,Alaska,Kodiak Island Borough,5527,4,4,3
02158,Alaska,Kusilvak Census Area,2237,0,0,0
02164,Alaska,Lake and Peninsula Borough,1510,2,1,1
02170,Alaska,Matanuska-Susitna Borough,42202,4,4,2
02180,Alaska,Nome Census Area,4104,2,1,1
02185,Alaska,North Slope Borough,2630,3,2,0
02188,Alaska,Northwest Arctic Borough,2763,3,2,1
02195,Alaska,Petersburg Borough,1721,4,4,4
02198,Alaska,Prince of Wales-Hyder Census Area,3457,3,3,2
02220,Alaska,Sitka City and Borough,4262,4,4,4
02230,Alaska,Skagway Municipality,734,3,2,1
02240,Alaska,Southeast Fairbanks Census Area,3904,3,2,1
02275,Alaska,Wrangell City and Borough,1467,3,3,3
02282,Alaska,Yakutat City and Borough,476,4,4,4
02290,Alaska,Yukon-Koyukuk Census Area,4078,2,1,1
04001,Arizona,Apache County,33097,3,1,1
04003,Arizona,Cochise County,61982,4,3,3
04005,Arizona,Coconino County,68354,3,3,2
04007,Arizona,Gila County,34024,3,3,2
04009,Arizona,Graham County,13952,4,3,3
04011,Arizona,Greenlee County,4486,4,3,2
04012,Arizona,La Paz County,16389,2,2,2
04013,Arizona,Maricopa County,1817097,5,5,4
04015,Arizona,Mohave County,117650,4,3,3
04017,Arizona,Navajo County,58942,3,2,2
04019,Arizona,Pima County,470626,4,4,4
04021,Arizona,Pinal County,186629,4,4,3
04023,Arizona,Santa Cruz County,18601,4,3,2
04025,Arizona,Yavapai County,122590,4,4,3
04027,Arizona,Yuma County,95924,4,4,3
05001,Arkansas,Arkansas County,9507,3,2,1
05003,Arkansas,Ashley County,10189,3,3,2
05005,Arkansas,Baxter County,23052,4,4,3
05007,Arkansas,Benton County,115971,5,4,4
05009,Arkansas,Boone County,17075,4,3,3
05011,Arkansas,Bradley County,5801,3,2,1
05013,Arkansas,Calhoun County,2942,3,3,2
05015,Arkansas,Carroll County,13897,3,3,2
05017,Arkansas,Chicot County,5428,3,2,1
05019,Arkansas,Clark County,10601,3,3,3
05021,Arkansas,Clay County,8029,3,3,2
05023,Arkansas,Cleburne County,16206,3,3,2
05025,Arkansas,Cleveland County,4141,2,2,1
05027,Arkansas,Columbia County,11722,3,2,2
05029,Arkansas,Conway County,9903,3,2,2
05031,Arkansas,Craighead County,47752,4,4,3
05033,Arkansas,Crawford County,27191,4,3,3
05035,Arkansas,Crittenden County,21827,4,3,2
05037,Arkansas,Cross County,7980,3,3,2
05039,Arkansas,Dallas County,4353,2,2,1
05041,Arkansas,Desha County,6304,3,2,2
05043,Arkansas,Drew County,8683,3,3,2
05045,Arkansas,Faulkner County,51020,4,4,3
05047,Arkansas,Franklin County,8044,3,2,1
05049,Arkansas,Fulton County,6872,3,2,2
05051,Arkansas,Garland County,51145,4,4,3
05053,Arkansas,Grant County,8127,3,3,2
05055,Arkansas,Greene County,19566,4,4,4
05057,Arkansas,Hempstead County,10568,3,2,2
05059,Arkansas,Hot Spring County,14536,3,3,2
05061,Arkansas,Howard County,6260,3,2,1
05063,Arkansas,Independence County,16704,3,3,2
05065,Arkansas,Izard County,7319,3,3,2
05067,Arkansas,Jackson County,7632,3,3,2
05069,Arkansas,Jefferson County,33383,3,2,2
05071,Arkansas,Johnson County,11613,3,3,2
05073,Arkansas,Lafayette County,4408,2,2,1
05075,Arkansas,Lawrence County,8099,3,3,2
05077,Arkansas,Lee County,4356,2,2,1
05079,Arkansas,Lincoln County,4984,3,2,1
05081,Arkansas,Little River County,6553,3,2,1
05083,Arkansas,Logan County,10179,3,2,1
05085,Arkansas,Lonoke County,30471,4,4,3
05087,Arkansas,Madison County,7636,3,2,2
05089,Arkansas,Marion County,9675,3,3,2
05091,Arkansas,Miller County,19603,4,4,3
05093,Arkansas,Mississippi County,20591,3,3,2
05095,Arkansas,Monroe County,4435,2,2,1
05097,Arkansas,Montgomery County,5905,3,2,2
05099,Arkansas,Nevada County,4600,2,2,1
05101,Arkansas,Newton County,4710,3,1,1
05103,Arkansas,Ouachita County,13099,3,3,2
05105,Arkansas,Perry County,4995,3,3,2
05107,Arkansas,Phillips County,10311,3,2,2
05109,Arkansas,Pike County,5649,3,2,2
05111,Arkansas,Poinsett County,11050,3,3,2
05113,Arkansas,Polk County,10153,3,2,2
05115,Arkansas,Pope County,26599,4,4,3
05117,Arkansas,Prairie County,4573,2,2,1
05119,Arkansas,Pulaski County,187931,4,4,4
05121,Arkansas,Randolph County,8660,3,3,2
05123,Arkansas,St. Francis County,10947,3,2,1
05125,Arkansas,Saline County,49950,4,4,3
05127,Arkansas,Scott County,5290,3,2,1
05129,Arkansas,Searcy County,4960,2,2,1
05131,Arkansas,Sebastian County,57688,4,4,3
05133,Arkansas,Sevier County,7003,3,3,2
05135,Arkansas,Sharp County,9906,3,3,2
05137,Arkansas,Stone County,6977,3,2,1
05139,Arkansas,Union County,20132,3,3,2
05141,Arkansas,Van Buren County,10550,3,1,1
05143,Arkansas,Washington County,99170,4,4,4
05145,Arkansas,White County,34175,3,3,2
05147,Arkansas,Woodruff County,3877,2,2,1
05149,Arkansas,Yell County,9908,4,3,3
06001,California,Alameda County,616277,5,5,4
06003,California,Alpine County,1788,4,3,2
06005,California,Amador County,18362,4,4,3
06007,California,Butte County,86511,5,4,4
06009,California,Calaveras County,28279,4,4,3
