county_fips,state_name,county_name,housing_units,tier1,tier2,tier3,coverage_25_3,coverage_100_20,coverage_250_25,coverage_1000_100
01001,AL,Autauga County,27544,4,4,4,1,0.9364,0.9348,0.4441
01003,AL,Baldwin County,137072,4,2,2,1,0.7437,0.7304,0.2779
01005,AL,Barbour County,15445,4,2,2,1,0.5921,0.5505,0.0268
01007,AL,Bibb County,11168,4,1,1,1,0.3935,0.251,0.2494
01009,AL,Blount County,31265,4,1,1,1,0.3391,0.3112,0.1635
01011,AL,Bullock County,6136,4,3,1,1,0.781,0.0046,0.0046
01013,AL,Butler County,12828,4,2,2,1,0.5885,0.5881,0
01015,AL,Calhoun County,63191,4,4,4,1,0.9169,0.9155,0.2742
01017,AL,Chambers County,19432,4,3,3,1,0.771,0.7678,0.0406
01019,AL,Cherokee County,19466,4,1,1,1,0.2917,0.146,0.007
01021,AL,Chilton County,25370,4,1,1,1,0.4692,0.4499,0.4002
01023,AL,Choctaw County,10146,4,1,1,1,0.2145,0.0304,0.0304
01025,AL,Clarke County,15233,4,1,1,1,0.3737,0.3697,0.044
01027,AL,Clay County,8769,4,1,1,1,0.3,0.2968,0.0269
01029,AL,Cleburne County,8735,4,1,1,1,0.1401,0,0
01031,AL,Coffee County,34951,4,3,3,1,0.7678,0.7673,0.2902
01033,AL,Colbert County,32895,4,3,3,1,0.7666,0.7657,0.1704
01035,AL,Conecuh County,8632,4,1,1,1,0.2889,0.2707,0.0034
01037,AL,Coosa County,8039,4,2,2,1,0.6955,0.6845,0.3119
01039,AL,Covington County,22960,4,3,3,1,0.8872,0.8869,0.4308
01041,AL,Crenshaw County,8792,4,2,1,1,0.5122,0.2545,0.2257
01043,AL,Cullman County,48860,4,2,2,1,0.7248,0.7184,0.3993
01045,AL,Dale County,25768,4,2,2,1,0.6292,0.627,0.3006
01047,AL,Dallas County,23141,4,2,2,1,0.6843,0.6798,0.0597
01049,AL,DeKalb County,36355,4,3,3,1,0.8436,0.8432,0.6874
01051,AL,Elmore County,43427,4,3,3,1,0.8527,0.8347,0.3011
01053,AL,Escambia County,20884,4,2,2,1,0.556,0.5246,0.0022
01055,AL,Etowah County,56916,4,3,3,1,0.8803,0.8783,0.2597
01057,AL,Fayette County,10339,4,1,1,1,0.4855,0.4808,0.3947
01059,AL,Franklin County,17560,4,2,1,1,0.5219,0.43,0.0316
01061,AL,Geneva County,15621,4,2,2,1,0.5743,0.566,0.1486
01063,AL,Greene County,5979,4,1,1,1,0.3514,0.2425,0.2425
01065,AL,Hale County,9821,4,1,1,1,0.4475,0.4475,0.0553
01067,AL,Henry County,11607,4,1,1,1,0.4325,0.4295,0
01069,AL,Houston County,57885,4,3,3,1,0.8517,0.85,0.0627
01071,AL,Jackson County,29860,4,4,4,1,0.9082,0.907,0.8944
01073,AL,Jefferson County,341459,4,4,4,1,0.9237,0.9156,0.3696
01075,AL,Lamar County,9472,4,4,4,1,0.9658,0.9658,0.9658
01077,AL,Lauderdale County,50821,4,3,3,1,0.8144,0.8097,0.2694
01079,AL,Lawrence County,19712,4,4,4,1,0.912,0.9116,0.8934
01081,AL,Lee County,87638,4,4,4,1,0.9407,0.9337,0.4758
01083,AL,Limestone County,48816,4,3,3,1,0.8399,0.8345,0.3041
01085,AL,Lowndes County,7043,4,1,1,1,0.2503,0.2445,0.0549
01087,AL,Macon County,11749,4,2,2,1,0.6202,0.6098,0.0663
01089,AL,Madison County,190125,4,4,4,1,0.9795,0.9786,0.7113
01091,AL,Marengo County,12480,4,2,2,1,0.6847,0.6829,0.2651
01093,AL,Marion County,17588,4,4,4,1,0.9966,0.9964,0.9964
01095,AL,Marshall County,48036,4,4,4,1,0.9189,0.9165,0.4216
01097,AL,Mobile County,208183,4,4,3,1,0.9027,0.8962,0.397
01099,AL,Monroe County,13389,4,1,1,1,0.48,0.4065,0
01101,AL,Montgomery County,134067,4,3,3,1,0.86,0.8362,0.2213
01103,AL,Morgan County,63401,4,3,3,1,0.8278,0.8207,0.2921
01105,AL,Perry County,5751,4,1,1,1,0.2784,0.1115,0.1111
01107,AL,Pickens County,12691,4,1,1,1,0.442,0.4415,0.4396
01109,AL,Pike County,19610,4,2,2,1,0.5416,0.5005,0.5005
01111,AL,Randolph County,15511,4,1,1,1,0.2958,0.2913,0.14
01113,AL,Russell County,31363,4,3,3,1,0.842,0.825,0.8248
01115,AL,St. Clair County,45825,4,3,3,1,0.8536,0.8231,0.1923
01117,AL,Shelby County,99147,4,3,3,1,0.8394,0.827,0.3104
01119,AL,Sumter County,8421,4,1,1,1,0.3434,0.3287,1e-4
01121,AL,Talladega County,44356,4,3,3,1,0.7899,0.7893,0.383
01123,AL,Tallapoosa County,26629,4,3,3,1,0.8159,0.8137,0.0997
01125,AL,Tuscaloosa County,119016,4,3,3,1,0.8814,0.8788,0.2081
01127,AL,Walker County,36654,4,2,2,1,0.62,0.6066,0.0343
01129,AL,Washington County,10869,4,1,1,1,0.1881,0.059,0.0023
01131,AL,Wilcox County,6856,4,1,1,1,0.3148,0.3108,0.1072
01133,AL,Winston County,16887,4,1,1,1,0.4492,0.4481,0.423
02013,AK,Aleutians East Borough,998,4,4,1,1,1,0,0
02016,AK,Aleutians West Census Area,1650,4,4,1,1,1,0.0212,0
02020,AK,Anchorage Municipality,130828,4,4,4,1,0.9641,0.9338,0.0115
02050,AK,Bethel Census Area,7301,4,1,1,1,0.4147,0,0
02060,AK,Bristol Bay Borough,1084,4,4,1,1,1,0,0
02063,AK,Chugach Census Area,4074,4,2,1,1,0.7013,0.4944,0.4936
02066,AK,Copper River Census Area,3898,4,4,2,1,1,0.6773,0.6773
02068,AK,Denali Borough,2423,4,4,1,1,1,0.0116,0.0116
02070,AK,Dillingham Census Area,2989,4,4,1,1,1,0,0
02090,AK,Fairbanks North Star Borough,50503,4,3,2,1,0.8852,0.681,0
02100,AK,Haines Borough,1705,4,4,1,1,1,0,0
02105,AK,Hoonah-Angoon Census Area,2220,4,4,1,1,1,0,0
02110,AK,Juneau City and Borough,16753,4,4,4,1,1,0.9727,0
02122,AK,Kenai Peninsula Borough,38350,4,3,1,1,0.8489,0.3382,0
02130,AK,Ketchikan Gateway Borough,7760,4,4,4,1,1,0.9695,0.9607
02150,AK,Kodiak Island Borough,7400,4,4,2,1,1,0.7065,0
02158,AK,Kusilvak Census Area,2809,4,2,1,1,0.7052,0,0
02164,AK,Lake and Peninsula Borough,2382,4,4,1,1,1,0,0
02170,AK,Matanuska-Susitna Borough,58252,4,3,2,1,0.7698,0.535,0.1223
02180,AK,Nome Census Area,5265,4,4,1,0.9998,0.9998,0.3514,0
02185,AK,North Slope Borough,3534,4,4,1,0.9997,0.9997,0,0
02188,AK,Northwest Arctic Borough,3329,4,4,1,1,1,0.3554,0
02195,AK,Petersburg Borough,2215,4,4,4,1,1,0.9084,0
02198,AK,Prince of Wales-Hyder Census Area,4267,4,4,1,1,1,0,0
02220,AK,Sitka City and Borough,4935,4,4,4,1,0.9976,0.9427,0
02230,AK,Skagway Municipality,978,4,4,1,1,1,0,0
02240,AK,Southeast Fairbanks Census Area,5938,4,4,1,1,1,0.0165,0.0022
02275,AK,Wrangell City and Borough,1692,4,4,3,1,1,0.8327,0
02282,AK,Yakutat City and Borough,494,4,4,1,1,1,0,0
02290,AK,Yukon-Koyukuk Census Area,5467,4,4,1,1,0.9665,0,0
04001,AZ,Apache County,31710,4,2,1,1,0.6178,3e-4,1e-4
04003,AZ,Cochise County,65506,4,2,1,1,0.577,0.2392,0.0799
04005,AZ,Coconino County,75028,4,2,2,1,0.7269,0.6219,0.4991
04007,AZ,Gila County,35232,4,2,1,1,0.5339,0.4119,0
04009,AZ,Graham County,15196,4,4,3,1,0.9934,0.8244,0.6431
04011,AZ,Greenlee County,5793,4,4,2,1,1,0.6316,0.4248
04012,AZ,La Paz County,15550,4,1,1,1,0.2797,0.0093,0
04013,AZ,Maricopa County,1948327,4,4,4,1,0.9837,0.9805,0.0448
04015,AZ,Mohave County,134183,4,3,3,1,0.8501,0.7616,0.1021
04017,AZ,Navajo County,62706,4,3,2,1,0.7559,0.578,0
