county_fips,state_name,county_name,housing_units,tier1,tier2,tier3,coverage_25_3,coverage_100_20,coverage_250_25,coverage_1000_100,state,county,svi_overall,svi_soc,svi_hh,svi_min,svi_hous
01001,AL,Autauga County,27544,4,4,4,1,0.9364,0.9348,0.4441,AL,Autauga,0.513,0.3838,0.7362,0.6337,0.4309
01003,AL,Baldwin County,137072,4,2,2,1,0.7437,0.7304,0.2779,AL,Baldwin,0.3103,0.3253,0.2724,0.5022,0.3612
01005,AL,Barbour County,15445,4,2,2,1,0.5921,0.5505,0.0268,AL,Barbour,0.9927,0.9567,0.9453,0.8962,0.9949
01007,AL,Bibb County,11168,4,1,1,1,0.3935,0.251,0.2494,AL,Bibb,0.8078,0.8008,0.5512,0.6292,0.8622
01009,AL,Blount County,31265,4,1,1,1,0.3391,0.3112,0.1635,AL,Blount,0.5137,0.5757,0.7225,0.4147,0.2743
01011,AL,Bullock County,6136,4,3,1,1,0.781,0.0046,0.0046,AL,Bullock,0.831,0.7183,0.6515,0.9809,0.8501
01013,AL,Butler County,12828,4,2,2,1,0.5885,0.5881,0,AL,Butler,0.6843,0.7486,0.6887,0.8686,0.2982
01015,AL,Calhoun County,63191,4,4,4,1,0.9169,0.9155,0.2742,AL,Calhoun,0.7349,0.7533,0.7279,0.6582,0.5197
01017,AL,Chambers County,19432,4,3,3,1,0.771,0.7678,0.0406,AL,Chambers,0.8074,0.5837,0.5955,0.8421,0.9599
01019,AL,Cherokee County,19466,4,1,1,1,0.2917,0.146,0.007,AL,Cherokee,0.3269,0.5029,0.4096,0.2778,0.1792
01021,AL,Chilton County,25370,4,1,1,1,0.4692,0.4499,0.4002,AL,Chilton,0.7222,0.7295,0.9176,0.5519,0.3463
01023,AL,Choctaw County,10146,4,1,1,1,0.2145,0.0304,0.0304,AL,Choctaw,0.7116,0.6766,0.8475,0.8256,0.3526
01025,AL,Clarke County,15233,4,1,1,1,0.3737,0.3697,0.044,AL,Clarke,0.8552,0.8864,0.6859,0.8631,0.6795
01027,AL,Clay County,8769,4,1,1,1,0.3,0.2968,0.0269,AL,Clay,0.5309,0.5856,0.6738,0.5423,0.2817
01029,AL,Cleburne County,8735,4,1,1,1,0.1401,0,0,AL,Cleburne,0.4542,0.5439,0.6289,0.2202,0.2979
01031,AL,Coffee County,34951,4,3,3,1,0.7678,0.7673,0.2902,AL,Coffee,0.6489,0.6041,0.9055,0.6862,0.2813
01033,AL,Colbert County,32895,4,3,3,1,0.7666,0.7657,0.1704,AL,Colbert,0.3475,0.4647,0.6346,0.577,0.0761
01035,AL,Conecuh County,8632,4,1,1,1,0.2889,0.2707,0.0034,AL,Conecuh,0.6575,0.725,0.6891,0.8756,0.2683
01037,AL,Coosa County,8039,4,2,2,1,0.6955,0.6845,0.3119,AL,Coosa,0.436,0.3065,0.3679,0.7406,0.5496
01039,AL,Covington County,22960,4,3,3,1,0.8872,0.8869,0.4308,AL,Covington,0.7075,0.7514,0.677,0.4981,0.5719
01041,AL,Crenshaw County,8792,4,2,1,1,0.5122,0.2545,0.2257,AL,Crenshaw,0.6025,0.5395,0.7995,0.6741,0.3775
01043,AL,Cullman County,48860,4,2,2,1,0.7248,0.7184,0.3993,AL,Cullman,0.5156,0.5827,0.6534,0.2753,0.3892
01045,AL,Dale County,25768,4,2,2,1,0.6292,0.627,0.3006,AL,Dale,0.8065,0.8832,0.8835,0.7027,0.3453
01047,AL,Dallas County,23141,4,2,2,1,0.6843,0.6798,0.0597,AL,Dallas,0.9157,0.9659,0.8176,0.971,0.5904
01049,AL,DeKalb County,36355,4,3,3,1,0.8436,0.8432,0.6874,AL,DeKalb,0.7387,0.809,0.6951,0.5439,0.5232
01051,AL,Elmore County,43427,4,3,3,1,0.8527,0.8347,0.3011,AL,Elmore,0.4564,0.3393,0.4271,0.6458,0.5532
01053,AL,Escambia County,20884,4,2,2,1,0.556,0.5246,0.0022,AL,Escambia,0.8708,0.93,0.7543,0.7934,0.6168
01055,AL,Etowah County,56916,4,3,3,1,0.8803,0.8783,0.2597,AL,Etowah,0.6483,0.7043,0.8246,0.5831,0.2833
01057,AL,Fayette County,10339,4,1,1,1,0.4855,0.4808,0.3947,AL,Fayette,0.6725,0.8205,0.4618,0.4758,0.5229
01059,AL,Franklin County,17560,4,2,1,1,0.5219,0.43,0.0316,AL,Franklin,0.7298,0.704,0.8463,0.606,0.4908
01061,AL,Geneva County,15621,4,2,2,1,0.5743,0.566,0.1486,AL,Geneva,0.5691,0.6458,0.7651,0.4949,0.2568
01063,AL,Greene County,5979,4,1,1,1,0.3514,0.2425,0.2425,AL,Greene,0.9513,0.9885,0.5191,0.985,0.8908
01065,AL,Hale County,9821,4,1,1,1,0.4475,0.4475,0.0553,AL,Hale,0.9351,0.9472,0.7893,0.9335,0.8269
01067,AL,Henry County,11607,4,1,1,1,0.4325,0.4295,0,AL,Henry,0.5646,0.6047,0.4074,0.6916,0.4669
01069,AL,Houston County,57885,4,3,3,1,0.8517,0.85,0.0627,AL,Houston,0.7021,0.7817,0.6585,0.7276,0.3927
