county_fips,state_name,county_name.x,housing_units,tier1,tier2,tier3,coverage_25_3,coverage_100_20,coverage_250_25,coverage_1000_100,state.x,county,svi_overall,svi_soc,svi_hh,svi_min,svi_hous,state.y,county_name.y,airband_fcc_availability,airband_usage,avg_download_mbps,avg_upload_mbps,avg_latency_ms,median_download_mbps,median_upload_mbps,total_tests,total_devices,n_tiles,rucc_2023,is_metro,is_rural,rural_urban_cat
01001,AL,Autauga County,27544,4,4,4,1,0.9364,0.9348,0.4441,AL,Autauga,0.513,0.3838,0.7362,0.6337,0.4309,AL,Autauga County,0.8057,0.391,139.27878869143788,66.69514248788373,22.4016155088853,111.819,15.279,3095,833,325,2,TRUE,FALSE,Metro
01003,AL,Baldwin County,137072,4,2,2,1,0.7437,0.7304,0.2779,AL,Baldwin,0.3103,0.3253,0.2724,0.5022,0.3612,AL,Baldwin County,0.8362,0.452,105.00464811146335,55.55273745377709,50.516574220813524,45.439499999999995,11.1445,15144,5026,1860,3,TRUE,FALSE,Metro
01005,AL,Barbour County,15445,4,2,2,1,0.5921,0.5505,0.0268,AL,Barbour,0.9927,0.9567,0.9453,0.8962,0.9949,AL,Barbour County,0.6891,0.324,99.15987022900761,11.02622519083969,55.41984732824427,36.919,6.943,262,94,70,6,FALSE,TRUE,Nonmetro-Adjacent
01007,AL,Bibb County,11168,4,1,1,1,0.3935,0.251,0.2494,AL,Bibb,0.8078,0.8008,0.5512,0.6292,0.8622,AL,Bibb County,0.3368,0.136,37.20530786026202,22.346111353711795,156.95414847161572,16.538,3.292,458,156,117,1,TRUE,FALSE,Metro
01009,AL,Blount County,31265,4,1,1,1,0.3391,0.3112,0.1635,AL,Blount,0.5137,0.5757,0.7225,0.4147,0.2743,AL,Blount County,0.758,0.199,56.9981072673639,23.611087691069987,35.75194422097077,23.601,4.381,3729,903,611,1,TRUE,FALSE,Metro
01011,AL,Bullock County,6136,4,3,1,1,0.781,0.0046,0.0046,AL,Bullock,0.831,0.7183,0.6515,0.9809,0.8501,AL,Bullock County,0.9363,0.157,20.647812834224602,7.3985882352941195,40.95187165775401,15.283999999999999,3.0404999999999998,187,39,36,8,FALSE,TRUE,Nonmetro-Nonadjacent
01013,AL,Butler County,12828,4,2,2,1,0.5885,0.5881,0,AL,Butler,0.6843,0.7486,0.6887,0.8686,0.2982,AL,Butler County,0.6814,0.183,57.54825528169014,30.321077464788733,32.434859154929576,26.069499999999998,6.4335,568,139,96,6,FALSE,TRUE,Nonmetro-Adjacent
01015,AL,Calhoun County,63191,4,4,4,1,0.9169,0.9155,0.2742,AL,Calhoun,0.7349,0.7533,0.7279,0.6582,0.5197,AL,Calhoun County,0.9298,0.419,106.67760111662517,24.030878411910678,26.607630272952854,84.7085,11.4145,3224,1233,716,3,TRUE,FALSE,Metro
01017,AL,Chambers County,19432,4,3,3,1,0.771,0.7678,0.0406,AL,Chambers,0.8074,0.5837,0.5955,0.8421,0.9599,AL,Chambers County,0.8453,0.501,125.30257888888889,16.650598888888887,44.29888888888889,65.5375,10.449,900,211,156,6,FALSE,TRUE,Nonmetro-Adjacent
01019,AL,Cherokee County,19466,4,1,1,1,0.2917,0.146,0.007,AL,Cherokee,0.3269,0.5029,0.4096,0.2778,0.1792,AL,Cherokee County,0.9892,0.125,28.93520551378446,6.095982456140353,80.16959064327486,12.5195,2.801,1197,342,268,8,FALSE,TRUE,Nonmetro-Nonadjacent
01021,AL,Chilton County,25370,4,1,1,1,0.4692,0.4499,0.4002,AL,Chilton,0.7222,0.7295,0.9176,0.5519,0.3463,AL,Chilton County,0.6345,0.104,54.359178137651824,41.7023056680162,87.15789473684211,20.056,2.479,988,377,283,1,TRUE,FALSE,Metro
01023,AL,Choctaw County,10146,4,1,1,1,0.2145,0.0304,0.0304,AL,Choctaw,0.7116,0.6766,0.8475,0.8256,0.3526,AL,Choctaw County,0.2147,0.035,9.416029801324502,3.166986754966888,77.65562913907284,6.243,0.883,302,110,95,9,FALSE,TRUE,Nonmetro-Nonadjacent
01025,AL,Clarke County,15233,4,1,1,1,0.3737,0.3697,0.044,AL,Clarke,0.8552,0.8864,0.6859,0.8631,0.6795,AL,Clarke County,0.5585,0.092,25.805839797639127,5.158200674536254,213.2664418212479,13.544,1.7080000000000002,593,175,132,9,FALSE,TRUE,Nonmetro-Nonadjacent
