county_fips,state,county,svi_overall,svi_soc,svi_hh,svi_min,svi_hous
01001,AL,Autauga,0.513,0.3838,0.7362,0.6337,0.4309
01003,AL,Baldwin,0.3103,0.3253,0.2724,0.5022,0.3612
01005,AL,Barbour,0.9927,0.9567,0.9453,0.8962,0.9949
01007,AL,Bibb,0.8078,0.8008,0.5512,0.6292,0.8622
01009,AL,Blount,0.5137,0.5757,0.7225,0.4147,0.2743
01011,AL,Bullock,0.831,0.7183,0.6515,0.9809,0.8501
01013,AL,Butler,0.6843,0.7486,0.6887,0.8686,0.2982
01015,AL,Calhoun,0.7349,0.7533,0.7279,0.6582,0.5197
01017,AL,Chambers,0.8074,0.5837,0.5955,0.8421,0.9599
01019,AL,Cherokee,0.3269,0.5029,0.4096,0.2778,0.1792
01021,AL,Chilton,0.7222,0.7295,0.9176,0.5519,0.3463
01023,AL,Choctaw,0.7116,0.6766,0.8475,0.8256,0.3526
01025,AL,Clarke,0.8552,0.8864,0.6859,0.8631,0.6795
01027,AL,Clay,0.5309,0.5856,0.6738,0.5423,0.2817
01029,AL,Cleburne,0.4542,0.5439,0.6289,0.2202,0.2979
01031,AL,Coffee,0.6489,0.6041,0.9055,0.6862,0.2813
01033,AL,Colbert,0.3475,0.4647,0.6346,0.577,0.0761
01035,AL,Conecuh,0.6575,0.725,0.6891,0.8756,0.2683
01037,AL,Coosa,0.436,0.3065,0.3679,0.7406,0.5496
01039,AL,Covington,0.7075,0.7514,0.677,0.4981,0.5719
01041,AL,Crenshaw,0.6025,0.5395,0.7995,0.6741,0.3775
01043,AL,Cullman,0.5156,0.5827,0.6534,0.2753,0.3892
01045,AL,Dale,0.8065,0.8832,0.8835,0.7027,0.3453
01047,AL,Dallas,0.9157,0.9659,0.8176,0.971,0.5904
01049,AL,DeKalb,0.7387,0.809,0.6951,0.5439,0.5232
01051,AL,Elmore,0.4564,0.3393,0.4271,0.6458,0.5532
01053,AL,Escambia,0.8708,0.93,0.7543,0.7934,0.6168
01055,AL,Etowah,0.6483,0.7043,0.8246,0.5831,0.2833
01057,AL,Fayette,0.6725,0.8205,0.4618,0.4758,0.5229
01059,AL,Franklin,0.7298,0.704,0.8463,0.606,0.4908
01061,AL,Geneva,0.5691,0.6458,0.7651,0.4949,0.2568
01063,AL,Greene,0.9513,0.9885,0.5191,0.985,0.8908
01065,AL,Hale,0.9351,0.9472,0.7893,0.9335,0.8269
01067,AL,Henry,0.5646,0.6047,0.4074,0.6916,0.4669
01069,AL,Houston,0.7021,0.7817,0.6585,0.7276,0.3927
01071,AL,Jackson,0.5528,0.6945,0.6095,0.3488,0.3262
01073,AL,Jefferson,0.7562,0.6862,0.6903,0.8787,0.6267
01075,AL,Lamar,0.5519,0.4484,0.663,0.4319,0.6321
01077,AL,Lauderdale,0.4745,0.5306,0.2909,0.4777,0.5439
01079,AL,Lawrence,0.4239,0.5605,0.4039,0.6034,0.1891
01081,AL,Lee,0.6795,0.5907,0.1894,0.7151,0.9443
01083,AL,Limestone,0.4602,0.4074,0.4182,0.6127,0.4882
01085,AL,Lowndes,0.8997,0.9628,0.8285,0.9758,0.5064
01087,AL,Macon,0.8896,0.9118,0.3275,0.9866,0.9418
01089,AL,Madison,0.3596,0.3046,0.359,0.7447,0.3278
01091,AL,Marengo,0.8113,0.8265,0.8428,0.8988,0.4344
01093,AL,Marion,0.6833,0.7947,0.7212,0.2778,0.5
01095,AL,Marshall,0.6222,0.6489,0.9007,0.5407,0.2416
01097,AL,Mobile,0.7947,0.8272,0.5325,0.8253,0.6868
01099,AL,Monroe,0.7241,0.9048,0.3657,0.8517,0.3616
01101,AL,Montgomery,0.9032,0.8635,0.8488,0.9526,0.7884
01103,AL,Morgan,0.6413,0.5878,0.782,0.6174,0.4433
01105,AL,Perry,0.9137,0.9803,0.5732,0.9653,0.7314
01107,AL,Pickens,0.9379,0.8966,0.9354,0.8558,0.8256
01109,AL,Pike,0.8059,0.7928,0.4007,0.832,0.873
01111,AL,Randolph,0.5347,0.4672,0.4679,0.6197,0.5974
01113,AL,Russell,0.8918,0.8962,0.9214,0.8972,0.5853
01115,AL,St. Clair,0.3224,0.4147,0.198,0.4411,0.3472
01117,AL,Shelby,0.1155,0.0885,0.2081,0.5882,0.1525
01119,AL,Sumter,0.9653,0.964,0.6264,0.9749,0.9729
01121,AL,Talladega,0.8768,0.8676,0.7492,0.7683,0.8074
01123,AL,Tallapoosa,0.8927,0.8183,0.8943,0.6986,0.8838
01125,AL,Tuscaloosa,0.682,0.6595,0.268,0.7826,0.8151
01127,AL,Walker,0.6875,0.7823,0.7778,0.3705,0.4293
01129,AL,Washington,0.4599,0.6308,0.3724,0.733,0.1639
01131,AL,Wilcox,0.9208,0.9013,0.9554,0.9723,0.6092
01133,AL,Winston,0.6852,0.761,0.8924,0.1779,0.4252
02013,AK,Aleutians East,0.6442,0.4204,0.1595,0.9898,0.9577
02016,AK,Aleutians West,0.4959,0.2053,0.0331,0.9796,0.9955
02020,AK,Anchorage,0.5761,0.3947,0.3666,0.8224,0.8008
02050,AK,Bethel,0.9542,0.9351,0.7008,0.9949,0.9602
02060,AK,Bristol Bay,0.2314,0.1483,0.0045,0.8842,0.8832
02063,AK,Chugach,0.2352,0.1098,0.0118,0.6432,0.9262
