county_fips,state_abbr,county_name,population_2020,rucc_2023,rucc_description,is_metro,is_rural,rural_urban_cat
01001,AL,Autauga County,58805,2,"Metro - Counties in metro areas of 250,000 to 1 million population",TRUE,FALSE,Metro
01003,AL,Baldwin County,231767,3,"Metro - Counties in metro areas of fewer than 250,000 population",TRUE,FALSE,Metro
01005,AL,Barbour County,25223,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",FALSE,TRUE,Nonmetro-Adjacent
01007,AL,Bibb County,22293,1,Metro - Counties in metro areas of 1 million population or more,TRUE,FALSE,Metro
01009,AL,Blount County,59134,1,Metro - Counties in metro areas of 1 million population or more,TRUE,FALSE,Metro
01011,AL,Bullock County,10357,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",FALSE,TRUE,Nonmetro-Nonadjacent
01013,AL,Butler County,19051,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",FALSE,TRUE,Nonmetro-Adjacent
01015,AL,Calhoun County,116441,3,"Metro - Counties in metro areas of fewer than 250,000 population",TRUE,FALSE,Metro
01017,AL,Chambers County,34772,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",FALSE,TRUE,Nonmetro-Adjacent
01019,AL,Cherokee County,24971,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",FALSE,TRUE,Nonmetro-Nonadjacent
01021,AL,Chilton County,45014,1,Metro - Counties in metro areas of 1 million population or more,TRUE,FALSE,Metro
01023,AL,Choctaw County,12665,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",FALSE,TRUE,Nonmetro-Nonadjacent
01025,AL,Clarke County,23087,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",FALSE,TRUE,Nonmetro-Nonadjacent
01027,AL,Clay County,14236,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",FALSE,TRUE,Nonmetro-Nonadjacent
01029,AL,Cleburne County,15056,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",FALSE,TRUE,Nonmetro-Nonadjacent
01031,AL,Coffee County,53465,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",FALSE,TRUE,Nonmetro-Adjacent
01033,AL,Colbert County,57227,3,"Metro - Counties in metro areas of fewer than 250,000 population",TRUE,FALSE,Metro
01035,AL,Conecuh County,11597,9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",FALSE,TRUE,Nonmetro-Nonadjacent
01037,AL,Coosa County,10387,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",FALSE,TRUE,Nonmetro-Nonadjacent
01039,AL,Covington County,37570,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",FALSE,TRUE,Nonmetro-Adjacent
01041,AL,Crenshaw County,13194,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",FALSE,TRUE,Nonmetro-Nonadjacent
01043,AL,Cullman County,87866,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",FALSE,TRUE,Nonmetro-Adjacent
01045,AL,Dale County,49326,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",FALSE,TRUE,Nonmetro-Adjacent
01047,AL,Dallas County,38462,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",FALSE,TRUE,Nonmetro-Adjacent
01049,AL,DeKalb County,71608,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",FALSE,TRUE,Nonmetro-Adjacent
01051,AL,Elmore County,87977,2,"Metro - Counties in metro areas of 250,000 to 1 million population",TRUE,FALSE,Metro
